# Samples,  Aspect Ratio,  Area,  Rect Area, Extent,  Solidity,  H0,  H1, H2, H3, H4, Goal
135.00000,2.57143,0.00085,0.00164,0.51786,0.79573,0.00000,0.00397,0.06944,0.07937,0.84722,0.00000
136.00000,1.40625,0.10487,0.91875,0.11414,0.21588,0.02474,0.05512,0.13610,0.50838,0.27565,1.00000
137.00000,6.27778,0.00343,0.00662,0.51868,0.83432,0.00000,0.00098,0.06146,0.09292,0.84464,0.00000
138.00000,1.83871,0.00254,0.00575,0.44086,0.80268,0.00000,0.00000,0.07018,0.19581,0.73401,0.00000
139.00000,0.25714,0.00219,0.00410,0.53452,0.80998,0.00000,0.00159,0.03413,0.27222,0.69206,0.00000
140.00000,2.57143,0.00081,0.00164,0.49206,0.72621,0.00000,0.01984,0.09127,0.07937,0.80952,0.00000
141.00000,0.48188,0.06355,0.11949,0.53182,0.74708,0.00000,0.00000,0.00736,0.02365,0.96900,0.00000
142.00000,1.00833,0.04888,0.75625,0.06464,0.16880,0.02735,0.06649,0.14282,0.59716,0.16618,1.00000
143.00000,0.71910,0.01037,0.01854,0.55908,0.89164,0.00000,0.00000,0.00000,0.00281,0.99719,0.00000
144.00000,0.45455,0.00282,0.00645,0.43712,0.68718,0.00000,0.00000,0.00000,0.03182,0.96818,0.00000
145.00000,1.69697,0.00256,0.00602,0.42614,0.82245,0.00000,0.00920,0.08658,0.19481,0.70942,0.00000
146.00000,0.40896,0.08500,0.14940,0.56894,0.78869,0.00000,0.00081,0.00922,0.03913,0.95084,0.00000
147.00000,0.74336,0.03954,0.49438,0.07998,0.18042,0.03103,0.05904,0.13840,0.59250,0.17903,1.00000
148.00000,1.17647,0.00785,0.01771,0.44320,0.80501,0.00000,0.00000,0.00000,0.00864,0.99136,0.00000
149.00000,0.43617,0.00479,0.01255,0.38207,0.75668,0.00000,0.00000,0.00000,0.02361,0.97639,0.00000
150.00000,1.84375,0.00258,0.00615,0.42055,0.83535,0.00000,0.01960,0.08739,0.21610,0.67691,0.00000
151.00000,0.22986,0.04560,0.13325,0.34218,0.92605,0.00371,0.06484,0.11875,0.41542,0.39727,0.00000
152.00000,0.29930,0.03954,0.07858,0.50323,0.75421,0.00000,0.00000,0.00037,0.01176,0.98786,0.00000
153.00000,0.12225,0.03730,0.06657,0.56027,0.86508,0.00000,0.00000,0.00142,0.01702,0.98156,0.00000
154.00000,0.68519,0.03491,0.41625,0.08387,0.19147,0.02184,0.03398,0.11555,0.42504,0.40359,1.00000
155.00000,1.34545,0.00552,0.01325,0.41634,0.76918,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
156.00000,1.07292,0.08812,0.80469,0.10951,0.14013,0.02361,0.05225,0.13560,0.49910,0.28944,1.00000
157.00000,0.28516,0.03384,0.06083,0.55635,0.72189,0.00000,0.00000,0.00043,0.01011,0.98946,0.00000
158.00000,0.10263,0.03049,0.04824,0.63209,0.83904,0.00000,0.00000,0.00216,0.00722,0.99062,0.00000
159.00000,1.09524,0.00561,0.01415,0.39637,0.76459,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
160.00000,1.84615,0.00155,0.00406,0.38141,0.72285,0.00000,0.00000,0.01042,0.20513,0.78446,0.00000
161.00000,0.95309,0.06089,0.68243,0.08923,0.17725,0.02875,0.05759,0.16299,0.53006,0.22062,1.00000
162.00000,2.04000,0.00154,0.00415,0.37176,0.71011,0.00000,0.00000,0.00392,0.22745,0.76863,0.00000
163.00000,5.00000,0.00092,0.00197,0.46860,0.71142,0.00000,0.00000,0.00000,0.01488,0.98512,0.00000
164.00000,0.37500,0.00087,0.00281,0.30845,0.71257,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
165.00000,0.68421,0.00066,0.00080,0.82186,0.96437,0.00000,0.00000,0.00000,0.00810,0.99190,0.00000
166.00000,0.22566,0.04994,0.15008,0.33275,0.49689,0.00323,0.05193,0.10652,0.44740,0.39092,0.00000
167.00000,0.19247,0.02310,0.03579,0.64553,0.89921,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
168.00000,1.34483,0.00772,0.01473,0.52398,0.77002,0.00000,0.00000,0.00000,0.00862,0.99138,0.00000
169.00000,0.52308,0.00361,0.00719,0.50226,0.76158,0.00000,0.00000,0.00679,0.05973,0.93348,0.00000
170.00000,7.50000,0.00194,0.00352,0.55139,0.83932,0.00000,0.00000,0.00093,0.00741,0.99167,0.00000
171.00000,0.39375,0.20097,0.29531,0.68054,0.82717,0.00410,0.07741,0.10782,0.05343,0.75724,0.00000
172.00000,0.18750,0.06446,0.09000,0.71622,0.90517,0.00000,0.00000,0.00000,0.00156,0.99844,0.00000
173.00000,0.23295,0.01506,0.02349,0.64094,0.89182,0.00000,0.01954,0.01774,0.10075,0.86197,0.00000
174.00000,1.40984,0.00745,0.01708,0.43614,0.74479,0.00000,0.00000,0.00000,0.02059,0.97941,0.00000
175.00000,0.10145,0.00368,0.00629,0.58514,0.88045,0.00000,0.00000,0.05021,0.18375,0.76605,0.00000
176.00000,1.44886,0.06700,0.58437,0.11465,0.12099,0.03552,0.07957,0.55310,0.20167,0.13015,1.00000
177.00000,12.80000,0.00142,0.00417,0.34023,0.50581,0.00000,0.00000,0.00000,0.22813,0.77188,0.00000
178.00000,1.95833,0.00125,0.00367,0.34087,0.56879,0.00000,0.14450,0.08245,0.32713,0.44592,0.00000
179.00000,2.35714,0.00066,0.00150,0.44156,0.70224,0.00000,0.00000,0.04762,0.24459,0.70779,0.00000
180.00000,1.92308,0.00066,0.00106,0.62000,0.88184,0.00000,0.00000,0.09538,0.14769,0.75692,0.00000
181.00000,0.47414,0.11112,0.18691,0.59451,0.77980,0.00451,0.02008,0.06177,0.30129,0.61235,0.00000
182.00000,0.41754,0.08980,0.11040,0.81343,0.91164,0.01350,0.03992,0.07035,0.03506,0.84116,0.00000
183.00000,0.91086,0.02578,0.38214,0.06747,0.15755,0.01658,0.07264,0.27524,0.55470,0.08085,1.00000
184.00000,0.12245,0.00268,0.00383,0.70111,0.90904,0.00000,0.00000,0.02636,0.14711,0.82653,0.00000
185.00000,2.76923,0.00069,0.00152,0.44979,0.71599,0.00000,0.00000,0.00000,0.11111,0.88889,0.00000
186.00000,1.20163,0.03412,0.52685,0.06476,0.14384,0.01219,0.05864,0.30929,0.50264,0.11724,1.00000
187.00000,0.12807,0.02763,0.05615,0.49209,0.92482,0.00388,0.02649,0.27213,0.15352,0.54397,0.00000
188.00000,1.15461,0.06444,0.60437,0.10663,0.12709,0.01078,0.06220,0.31236,0.47901,0.13565,1.00000
189.00000,0.31351,0.01670,0.03493,0.47801,0.75007,0.00019,0.00867,0.02302,0.06841,0.89972,0.00000
190.00000,1.93750,0.00107,0.00161,0.66028,0.95203,0.00000,0.00000,0.01613,0.16331,0.82056,0.00000
191.00000,3.30769,0.00068,0.00182,0.37299,0.66934,0.00000,0.00000,0.00000,0.13059,0.86941,0.00000
192.00000,3.00000,0.00067,0.00220,0.30370,0.48521,0.00000,0.00000,0.03704,0.20889,0.75407,0.00000
193.00000,0.11236,0.02788,0.04635,0.60137,0.90999,0.00456,0.01699,0.18715,0.14206,0.64923,0.00000
194.00000,0.73846,0.02506,0.25391,0.09870,0.19778,0.01132,0.07617,0.14812,0.64463,0.11977,1.00000
195.00000,0.36810,0.02016,0.03184,0.63313,0.85821,0.00000,0.00000,0.00348,0.03016,0.96636,0.00000
196.00000,1.86667,0.00092,0.00137,0.67024,0.94781,0.00000,0.00000,0.00000,0.13333,0.86667,0.00000
197.00000,2.81250,0.00089,0.00234,0.38125,0.52637,0.00000,0.00000,0.03611,0.24861,0.71528,0.00000
198.00000,1.23048,0.03091,0.28984,0.10666,0.12002,0.01060,0.05698,0.29660,0.50910,0.12672,1.00000
199.00000,0.64706,0.02154,0.03896,0.55289,0.76014,0.00376,0.03033,0.09726,0.15157,0.71708,0.00000
200.00000,2.50000,0.00059,0.00117,0.50556,0.73239,0.00000,0.00000,0.05000,0.21111,0.73889,0.00000
201.00000,1.75000,0.00055,0.00082,0.66667,0.96830,0.00000,0.00000,0.00397,0.13889,0.85714,0.00000
202.00000,1.00000,0.00034,0.00055,0.60947,0.95814,0.00000,0.00000,0.00000,0.13609,0.86391,0.00000
203.00000,0.27352,0.15137,0.18595,0.81400,0.96357,0.00000,0.00000,0.08432,0.05796,0.85772,0.00000
204.00000,0.99627,0.02176,0.23293,0.09344,0.17737,0.01282,0.06799,0.35245,0.45643,0.11032,1.00000
205.00000,2.06667,0.00060,0.00151,0.39462,0.61785,0.00000,0.03011,0.06452,0.25161,0.65376,0.00000
206.00000,1.33333,0.00059,0.00141,0.42245,0.70736,0.00000,0.00000,0.00000,0.32176,0.67824,0.00000
207.00000,1.66667,0.00055,0.00078,0.69792,0.95442,0.00000,0.00000,0.00000,0.10000,0.90000,0.00000
208.00000,0.74370,0.05711,0.54852,0.10412,0.19550,0.00801,0.06161,0.18111,0.61731,0.13196,1.00000
209.00000,1.66667,0.00117,0.00176,0.66481,0.93126,0.00000,0.00000,0.01111,0.15000,0.83889,0.00000
210.00000,2.50000,0.00110,0.00264,0.41543,0.58067,0.00000,0.00000,0.07901,0.20988,0.71111,0.00000
211.00000,1.00000,0.00056,0.00083,0.67188,0.97175,0.00000,0.00000,0.00000,0.11719,0.88281,0.00000
212.00000,0.76923,0.00021,0.00042,0.50385,0.81875,0.00000,0.00000,0.00769,0.24615,0.74615,0.00000
213.00000,0.38644,0.07579,0.10947,0.69233,0.90423,0.01136,0.06702,0.06447,0.03955,0.81760,0.00000
214.00000,0.34985,0.06949,0.11881,0.58489,0.83613,0.00334,0.05962,0.07370,0.14420,0.71914,0.00000
215.00000,0.92627,0.02994,0.56793,0.05272,0.13844,0.00925,0.04932,0.21559,0.61093,0.11491,1.00000
216.00000,0.68966,0.00480,0.00755,0.63556,0.83969,0.00000,0.00000,0.00000,0.00302,0.99698,0.00000
217.00000,0.11194,0.00290,0.00654,0.44279,0.89808,0.00000,0.00000,0.33333,0.10945,0.55721,0.00000
218.00000,0.36494,0.08122,0.14387,0.56455,0.81585,0.00545,0.03910,0.08173,0.15922,0.71450,0.00000
219.00000,0.13981,0.03818,0.08105,0.47108,0.94410,0.00972,0.05940,0.28524,0.10808,0.53755,0.00000
220.00000,0.98588,0.03214,0.57967,0.05545,0.14229,0.00909,0.05312,0.18555,0.60934,0.14290,1.00000
221.00000,1.00000,0.08681,0.69480,0.12494,0.15837,0.00841,0.05516,0.20346,0.56300,0.16996,1.00000
222.00000,0.36023,0.08343,0.14119,0.59090,0.83386,0.00565,0.04012,0.07993,0.15202,0.72228,0.00000
223.00000,1.05556,0.00083,0.00111,0.75000,0.98088,0.00000,0.00000,0.00000,0.31579,0.68421,0.00000
224.00000,0.70000,0.00043,0.00091,0.46786,0.91608,0.01429,0.08214,0.53571,0.36786,0.00000,0.00000
225.00000,1.40000,0.00035,0.00046,0.76429,0.98618,0.00000,0.00000,0.02143,0.39286,0.58571,0.00000
226.00000,0.37168,0.08097,0.13904,0.58234,0.83987,0.00592,0.02641,0.08047,0.16978,0.71742,0.00000
227.00000,0.12530,0.03931,0.07298,0.53872,0.87483,0.01253,0.05246,0.20804,0.10661,0.62037,0.00000
228.00000,0.55807,0.02018,0.22637,0.08916,0.19638,0.02180,0.05752,0.14289,0.56508,0.21271,1.00000
229.00000,1.06667,0.00049,0.00078,0.62083,0.95208,0.00000,0.00000,0.00000,0.09167,0.90833,0.00000
230.00000,2.16667,0.00014,0.00025,0.55769,0.90625,0.00000,0.00000,0.00000,0.03846,0.96154,0.00000
